                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85601,                  1.778,                 1.1352,                0.92187,                   0.47,                 0.5051,                0.26077,                 1.6981,                 3.5411,                 1.3919,             0.00054625,             0.00054625,             0.00054625
                      1,                0.80776,                 1.0056,                 1.0315,                0.76291,                0.56804,                0.73663,                0.36542,                 1.3477,                 2.1775,                 1.1239,               0.001091,               0.001091,               0.001091
                      2,                0.84695,                 0.9337,                 1.0362,                0.71302,                0.56007,                0.67162,                0.39918,                 1.3981,                 1.8518,                 1.2145,              0.0016248,              0.0016248,              0.0016248
                      3,                0.80886,                 0.8481,                  1.028,                0.82504,                 0.7519,                0.76603,                0.55405,                 0.9948,                 1.4336,                0.78806,              0.0016175,              0.0016175,              0.0016175
                      4,                0.76437,                0.76355,                 1.0192,                 0.7999,                0.69973,                0.78046,                0.54108,                0.97507,                 1.2623,                 0.8866,              0.0016175,              0.0016175,              0.0016175
                      5,                0.80009,                 0.7141,                 1.0206,                0.78634,                0.56502,                0.60944,                0.35942,                  1.083,                 1.8248,                0.97654,               0.001601,               0.001601,               0.001601
                      6,                0.78344,                0.67947,                 1.0057,                0.84928,                0.79769,                 0.7975,                0.55567,                 0.9843,                0.91171,                0.89465,              0.0015845,              0.0015845,              0.0015845
                      7,                0.74974,                0.61708,                0.98728,                0.81324,                0.75661,                0.78662,                0.53746,                0.96718,                 1.0894,                0.87327,               0.001568,               0.001568,               0.001568
                      8,                0.74832,                0.60395,                0.98409,                0.79331,                0.78583,                0.82136,                0.55532,                0.97488,                 1.1354,                0.93723,              0.0015515,              0.0015515,              0.0015515
                      9,                0.72544,                 0.5817,                 1.0001,                0.86905,                0.81307,                0.81953,                0.54882,                 1.0663,                  1.035,                0.88424,               0.001535,               0.001535,               0.001535
                     10,                0.72963,                0.55965,                0.97934,                0.82303,                0.79828,                0.81367,                0.54549,                0.99385,                  1.098,                0.82758,              0.0015185,              0.0015185,              0.0015185
                     11,                0.69024,                0.52099,                 0.9731,                0.88024,                0.72374,                0.80013,                0.53838,                0.92711,                 1.2635,                0.83626,               0.001502,               0.001502,               0.001502
                     12,                0.68423,                0.51194,                0.96746,                0.82982,                0.63533,                0.73618,                0.45958,                0.93273,                 1.1302,                 0.8226,              0.0014855,              0.0014855,              0.0014855
                     13,                0.68623,                0.51049,                0.96611,                0.86534,                0.62078,                0.75731,                0.50565,                0.90902,                 1.0424,                0.79541,               0.001469,               0.001469,               0.001469
                     14,                0.70816,                0.50001,                0.96673,                0.90043,                0.76473,                0.83899,                0.60064,                 0.8369,                0.98332,                0.76633,              0.0014525,              0.0014525,              0.0014525
                     15,                0.68978,                0.47661,                0.96548,                 0.8491,                0.64494,                0.76275,                0.52469,                0.94791,                 1.0612,                0.85966,               0.001436,               0.001436,               0.001436
                     16,                0.70271,                   0.49,                0.95778,                0.88727,                0.82516,                0.84964,                0.59068,                0.84619,                 0.7699,                0.75981,              0.0014195,              0.0014195,              0.0014195
                     17,                0.67719,                0.47142,                0.96764,                 0.8735,                0.83337,                0.85344,                0.55078,                0.92195,                0.84248,                0.81293,              0.0014029,              0.0014029,              0.0014029
                     18,                0.66099,                0.46484,                0.96076,                0.89111,                0.84531,                0.85093,                0.58862,                0.85087,                0.78224,                0.76779,              0.0013864,              0.0013864,              0.0013864
                     19,                0.67391,                0.46268,                0.94641,                0.91149,                0.83736,                0.86317,                 0.5926,                0.82368,                0.70645,                 0.7806,              0.0013699,              0.0013699,              0.0013699
                     20,                0.69098,                0.47817,                0.96617,                0.87549,                0.81448,                 0.8454,                0.57727,                0.88861,                0.83697,                0.79909,              0.0013534,              0.0013534,              0.0013534
                     21,                0.67438,                0.46122,                0.96319,                0.89704,                0.82333,                0.85816,                0.58982,                0.88441,                0.74586,                0.79254,              0.0013369,              0.0013369,              0.0013369
                     22,                0.65522,                0.45248,                0.95203,                0.84925,                0.83234,                0.84554,                 0.5744,                0.87342,                0.74982,                0.78588,              0.0013204,              0.0013204,              0.0013204
                     23,                0.67352,                0.45836,                0.96538,                0.87153,                0.82154,                0.84173,                0.57982,                0.84693,                 0.7132,                0.81807,              0.0013039,              0.0013039,              0.0013039
                     24,                0.68035,                0.47384,                 0.9596,                0.90536,                0.82516,                0.86929,                0.58493,                0.85203,                0.88622,                0.75415,              0.0012874,              0.0012874,              0.0012874
                     25,                0.64236,                0.43462,                0.94858,                0.87192,                0.83066,                0.84235,                0.58589,                0.88952,                0.66771,                0.77452,              0.0012709,              0.0012709,              0.0012709
                     26,                0.64468,                0.43079,                0.94903,                0.93938,                0.71332,                0.87028,                0.59946,                0.90796,                0.96654,                0.80843,              0.0012544,              0.0012544,              0.0012544
                     27,                 0.6164,                0.40998,                0.94664,                0.86757,                0.86363,                0.86742,                0.59709,                0.87251,                0.63331,                0.79494,              0.0012379,              0.0012379,              0.0012379
                     28,                0.68115,                 0.4411,                0.94631,                0.88025,                0.84165,                0.86462,                0.60795,                0.83955,                0.68152,                0.73991,              0.0012214,              0.0012214,              0.0012214
                     29,                0.63514,                0.41509,                0.93845,                0.89494,                 0.8563,                 0.8772,                0.61268,                0.78189,                0.63388,                0.72242,              0.0012049,              0.0012049,              0.0012049
                     30,                0.60779,                0.40209,                0.93993,                0.88571,                0.82402,                0.85738,                0.59619,                0.88313,                0.88978,                0.73742,              0.0011884,              0.0011884,              0.0011884
                     31,                0.62567,                0.40611,                0.94136,                0.89754,                0.81967,                0.85447,                0.60039,                0.77237,                0.73899,                0.72855,              0.0011719,              0.0011719,              0.0011719
                     32,                 0.6193,                0.40364,                0.94673,                0.90792,                0.86729,                0.87433,                0.61676,                 0.8107,                0.64411,                0.74634,              0.0011554,              0.0011554,              0.0011554
                     33,                0.62825,                0.40811,                0.94869,                0.92223,                0.84165,                0.88881,                0.59563,                0.86901,                0.78192,                 0.7613,              0.0011389,              0.0011389,              0.0011389
                     34,                0.63169,                 0.4128,                0.94614,                0.90402,                0.84348,                0.86094,                0.60937,                0.83086,                 0.7694,                0.74835,              0.0011224,              0.0011224,              0.0011224
                     35,                0.57852,                0.38052,                0.92738,                0.87775,                0.85081,                0.86385,                0.61317,                0.80166,                0.64664,                0.73852,              0.0011059,              0.0011059,              0.0011059
                     36,                0.59706,                0.38173,                0.94688,                0.88663,                 0.8563,                0.85805,                0.62635,                0.77797,                0.62351,                0.70274,              0.0010894,              0.0010894,              0.0010894
                     37,                0.64437,                0.41375,                0.94346,                 0.9138,                0.84847,                0.87566,                0.62029,                0.78076,                0.72771,                0.72627,              0.0010729,              0.0010729,              0.0010729
                     38,                0.61887,                0.39546,                0.94001,                0.90693,                0.83283,                0.85656,                 0.6081,                0.80191,                0.70174,                0.74017,              0.0010564,              0.0010564,              0.0010564
                     39,                0.60535,                0.38197,                0.93688,                0.88125,                0.86849,                0.87642,                0.59415,                0.85326,                0.64807,                0.76454,              0.0010399,              0.0010399,              0.0010399
                     40,                0.62066,                0.38386,                0.92701,                0.90613,                0.82856,                0.86701,                0.60236,                0.83595,                0.72941,                0.71677,              0.0010234,              0.0010234,              0.0010234
                     41,                0.62263,                0.39361,                0.94069,                0.88486,                0.84897,                0.87153,                0.61926,                0.82238,                0.72739,                0.73218,              0.0010069,              0.0010069,              0.0010069
                     42,                0.62748,                 0.3945,                0.93686,                0.89307,                0.83615,                0.86107,                0.61034,                0.81618,                 0.8254,                0.73602,             0.00099036,             0.00099036,             0.00099036
                     43,                0.61819,                0.38137,                0.94892,                0.91402,                0.86178,                0.88328,                0.62132,                 0.7913,                0.66708,                0.74168,             0.00097386,             0.00097386,             0.00097386
                     44,                0.61543,                0.38939,                0.93717,                0.87548,                 0.8563,                0.87288,                0.61633,                0.85231,                0.77599,                0.74776,             0.00095736,             0.00095736,             0.00095736
                     45,                0.62223,                0.38446,                0.94339,                0.90845,                0.80234,                0.87257,                0.60237,                0.84738,                0.87793,                0.74691,             0.00094085,             0.00094085,             0.00094085
                     46,                0.60555,                0.38995,                0.92661,                0.89482,                0.85264,                0.88013,                0.60171,                0.87215,                0.66137,                0.77557,             0.00092435,             0.00092435,             0.00092435
